date,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
2014/12/31,8.53,8.99,8.41,8.83,0.031542,87204394,759331659,92715000000,92715000000,0.008305,34.88651,2014/9/30,2014/10/22,10.954988,0.96043,3.819099,1.858083,8.754544
2014/12/30,8.86,8.95,8.38,8.56,-0.034949,79302161,684251160,89880000000,89880000000,0.007553,33.819767,2014/9/30,2014/10/22,10.620011,0.931062,3.70232,1.801268,8.486852
2014/12/29,8.87,9.3,8.61,8.87,0,120289111,1084603645,93135000000,93135000000,0.011456,35.044538,2014/9/30,2014/10/22,11.004612,0.96478,3.836399,1.8665,8.794201
2014/12/26,8.82,8.99,8.52,8.87,0.005669,114194029,1001745763,93135000000,93135000000,0.010876,35.044538,2014/9/30,2014/10/22,11.004612,0.96478,3.836399,1.8665,8.794201
2014/12/25,8.45,8.85,8.25,8.82,0.042553,105308648,894559362,92610000000,92610000000,0.010029,34.846991,2014/9/30,2014/10/22,10.942578,0.959342,3.814773,1.855978,8.744627
2014/12/24,8.51,9.13,8.3,8.46,-0.023095,125820071,1095825581,88830000000,88830000000,0.011983,33.424671,2014/9/30,2014/10/22,10.495944,0.920185,3.659068,1.780224,8.387705
2014/12/23,9.18,9.29,8.34,8.66,-0.065804,153666173,1355339551,90930000000,90930000000,0.014635,34.214863,2014/9/30,2014/10/22,10.744079,0.941939,3.745572,1.822311,8.585999
2014/12/22,8.61,9.27,8.61,9.27,0.099644,235088039,2156868257,97335000000,97335000000,0.022389,36.62493,2014/9/30,2014/10/22,11.500883,1.008289,4.009407,1.950673,9.19079
2014/12/19,7.85,8.59,7.81,8.43,0.069797,168949056,1384669341,88515000000,88515000000,0.01609,33.30617,2014/9/30,2014/10/22,10.458733,0.916923,3.646096,1.773913,8.357968
2014/12/18,7.91,8.04,7.68,7.88,0.002545,94466106,742665052,82740000000,82740000000,0.008997,31.133168,2014/9/30,2014/10/22,9.776371,0.8571,3.408213,1.658177,7.812667
2014/12/17,7.58,7.88,7.48,7.86,0.036939,122463392,943191272,82530000000,82530000000,0.011663,31.054135,2014/9/30,2014/10/22,9.751554,0.854924,3.399561,1.653968,7.792835
2014/12/16,7.42,7.66,7.34,7.58,0.01745,83510317,624731744,79590000000,79590000000,0.007953,29.94789,2014/9/30,2014/10/22,9.404173,0.824469,3.278458,1.595048,7.51523
2014/12/15,7.48,7.5,7.27,7.45,-0.010624,62623467,461929725,78225000000,78225000000,0.005964,29.434262,2014/9/30,2014/10/22,9.242885,0.810329,3.22223,1.567692,7.386338
2014/12/12,7.65,7.69,7.36,7.53,-0.003968,62065784,467270165,79065000000,79065000000,0.005911,29.75033,2014/9/30,2014/10/22,9.342135,0.81903,3.256831,1.584526,7.465653
2014/12/11,7.39,7.76,7.33,7.56,0.008,101132626,765536181,79380000000,79380000000,0.009632,29.86885,2014/9/30,2014/10/22,9.379353,0.822293,3.269805,1.590839,7.495395
